address,latitude,longitude
71st Street,41.764641,-87.686772
71st Street,41.764877,-87.666635
71st Street,41.765008,-87.657067
71st Street,41.765153,-87.647751
71st Street,41.765204,-87.644371
71st St,41.765644,-87.618476
71st St,41.76626,-87.574226
Commercial Ave,41.739836,-87.551476
Commercial Ave,41.732725,-87.55132
Commercial Ave,41.724444,-87.551124
Commercial Ave,41.718183,-87.551016
Cottage Grove Ave,41.820171,-87.606798
Cottage Grove Ave,41.807987,-87.606532
Cottage Grove Ave,41.797881,-87.606302
Cottage Grove Ave,41.78269,-87.605979
Cottage Grove Ave,41.775779,-87.605826
Cottage Grove Ave,41.770685,-87.605711
Cottage Grove Ave,41.760801,-87.605452
Cottage Grove Ave,41.734791,-87.604779
Cottage Grove Ave,41.710922,-87.60573
Damen Ave,41.859378,-87.676043
Damen Ave,41.854926,-87.67592
Damen Ave,41.850395,-87.67579
Damen Ave,41.844875,-87.675652
Damen Ave,41.830389,-87.675279
Damen Ave,41.827625,-87.675208
Damen Ave,41.803741,-87.674569
Damen Ave,41.785746,-87.674075
Damen Ave,41.770409,-87.673671
Damen Ave,41.757363,-87.673336
Dr Martin Luther King Jr Dr,41.838419,-87.617465
Dr Martin Luther King Jr Dr,41.825982,-87.617039
Dr Martin Luther King Jr Dr,41.814852,-87.616741
Dr Martin Luther King Jr Dr,41.795094,-87.615989
Dr Martin Luther King Jr Dr,41.754187,-87.615027
Dr Martin Luther King Jr Dr,41.726239,-87.614254
Dr Martin Luther King Jr Dr,41.706494,-87.613745
Exchange Ave,41.755798,-87.55646
Exchange Ave,41.7504,-87.5528
Indiana Ave,41.863938,-87.622471
Indiana Ave,41.85566,-87.62228
Indiana Ave,41.832167,-87.621788
Indiana Ave,41.828022,-87.621694
Indiana Ave,41.787779,-87.620665
Indianapolis Ave,41.707611,-87.529702
Jeffery Blvd,41.775215,-87.575158
Jeffery Blvd,41.77038,-87.576414
Jeffery Blvd,41.761454,-87.576196
Jeffery Blvd,41.747152,-87.575902
Jeffery Blvd,41.737902,-87.575714
Jeffery Blvd,41.739269,-87.575753
Jeffery Ave,41.719732,-87.57529
Dr Martin Luther King Jr Dr,41.760689,-87.615174
Dr Martin Luther King Jr Dr,41.849344,-87.618459
Lake Park Ave,41.797367,-87.587322
Michigan Ave,41.865924,-87.624115
Michigan Ave,41.850595,-87.623745
Michigan Ave,41.839562,-87.623493
Michigan Ave,41.834369,-87.623323
Michigan Ave,41.826807,-87.623149
Michigan Ave,41.811191,-87.622886
Michigan Ave,41.796652,-87.622518
Michigan Ave,41.718658,-87.620521
South Shore Dr,41.770241,-87.566558
South Shore Dr,41.756313,-87.552698
South Shore Dr,41.766314,-87.565472
State St,41.863436,-87.62733
State St,41.833661,-87.626468
State St,41.810903,-87.626128
State St,41.792077,-87.625634
State St,41.777072,-87.62526
State St,41.757046,-87.624736
State St,41.745812,-87.624391
State St,41.728281,-87.623913
State St,41.713246,-87.623646
Wentworth Ave,41.853156,-87.631785
Wentworth Ave,41.773651,-87.629987
Wentworth Ave,41.720659,-87.628638
Archer Ave,41.831501,-87.67584
Archer Ave,41.853553,-87.633392
Archer Ave,41.807818,-87.714468
Archer Ave,41.849975,-87.64032
Archer Ave,41.835106,-87.669954
Ashland Ave,41.876934,-87.666676
Ashland Ave,41.872567,-87.66656
Ashland Ave,41.861874,-87.666256
Ashland Ave,41.781444,-87.664267
Ashland Ave,41.775834,-87.66412
Ashland Ave,41.763965,-87.663752
Ashland Ave,41.757724,-87.663608
Ashland Ave,41.745469,-87.663314
Ashland Ave,41.733288,-87.662994
Clark St,41.873009,-87.630632
Clark St,41.869893,-87.630511
Clark St,41.861478,-87.630255
Clark St,41.855964,-87.630176
Clark St,41.853467,-87.630093
Halsted St,41.87346,-87.647091
Halsted St,41.865313,-87.646862
Halsted St,41.829513,-87.646078
Halsted St,41.796466,-87.645213
Halsted St,41.78453,-87.644905
Halsted St,41.771775,-87.644579
Halsted St,41.760683,-87.644298
Halsted St,41.735001,-87.643587
Halsted St,41.719968,-87.643173
Vincennes Ave,41.75002,-87.634415
Vincennes Ave,41.731171,-87.647028
Vincennes Ave,41.720798,-87.650838
Vincennes Ave,41.710702,-87.654574
Vincennes Ave,41.698034,-87.65927
Western Ave,41.872427,-87.686197
Western Ave,41.847006,-87.685499
Western Ave,41.834882,-87.684561
Western Ave,41.820278,-87.684745
Western Ave,41.77249,-87.683456
Western Ave,41.761813,-87.683164
Western Ave,41.756743,-87.683025
Western Ave,41.730457,-87.682356
Western Ave,41.712676,-87.68181
Western Ave,41.699963,-87.681415
Western Blvd,41.79459,-87.684058
Stony Island Ave,41.71675,-87.585043
Stony Island Ave,41.755119,-87.586125
Stony Island Ave,41.740553,-87.58573
Stony Island Ave,41.724124,-87.585159
Stony Island Ave,41.745515,-87.585819
Stony Island Ave,41.769698,-87.586238
Stony Island Ave,41.792127,-87.586689
92nd St,41.72824,-87.552415
92nd St,41.728253,-87.550704
99th Street,41.714033,-87.657301
99th Street,41.713939,-87.664213
100th St,41.713352,-87.558074
100th St,41.713772,-87.54362
Avenue L,41.720702,-87.536499
Avenue L,41.711118,-87.536485
Beverly Ave,41.719205,-87.662247
Longwood Dr,41.713044,-87.668914
Harbor Ave,41.729262,-87.541841
Mackinaw Ave,41.732854,-87.542962
Yates Blvd,41.764222,-87.566483
63rd Street,41.779224,-87.680473
63rd Street,41.779519,-87.661134
63rd St,41.779852,-87.638388
63rd St,41.780078,-87.621062
67th St,41.773084,-87.608939
67th St,41.773298,-87.589932
67th St,41.773376,-87.582603
75th Street,41.758155,-87.629625
75th St,41.758265,-87.622945
75th St,41.758455,-87.612457
75th St,41.758814,-87.581651
76th Street,41.755721,-87.671249
76th Street,41.756101,-87.642566
76th St,41.756542,-87.617335
76th St,41.756617,-87.613108
76th St,41.756982,-87.582699
79th Street,41.749936,-87.695059
79th Street,41.750449,-87.657022
79th Street,41.750534,-87.651099
79th Street,41.750722,-87.638461
79th St,41.75097,-87.623726
79th St,41.750997,-87.621988
79th St,41.75131,-87.603145
79th St,41.751849,-87.557322
83rd Street,41.74303,-87.666333
83rdStreet,41.743249,-87.651157
83rd St,41.743649,-87.624723
83rd Street,41.743855,-87.612049
83rd Street,41.744106,-87.593706
83rd Street,41.744086,-87.595315
83rd Street,41.744615,-87.554455
83rd St,41.744682,-87.549764
87th Street,41.735742,-87.666475
87th Street,41.735844,-87.659417
87th Street,41.73606,-87.644455
87th Street,41.73604,-87.638359
87th Street,41.736013,-87.63131
87th Street,41.736399,-87.621325
87th Street,41.736694,-87.601489
87th Street,41.737079,-87.574126
87th Street,41.737414,-87.548768
95th Street,41.721037,-87.675323
95th Street,41.721119,-87.669564
95th Street,41.721324,-87.653942
95th Street,41.721409,-87.647429
95th Street,41.721622,-87.631298
95th Street,41.721659,-87.628777
95th Street,41.721813,-87.618662
95th Street,41.722153,-87.597339
95th Street,41.722499,-87.572943
95th Street,41.722916,-87.538794
103rd Street,41.706991,-87.63698
103rd Street,41.707125,-87.626548
103rd St,41.70726,-87.617296
103rd St,41.707533,-87.600985
Chicago Ave,41.764998,-87.60436
Garfield Blvd,41.793839,-87.681286
Garfield Blvd,41.793942,-87.671875
Garfield Blvd,41.794746,-87.619558
Garfield Blvd,41.794582,-87.629567
Loomis St,41.863965,-87.661484
Loomis St,41.855898,-87.661264
Loomis St,41.80202,-87.659934
Loomis St,41.790122,-87.65963
Loomis St,41.773201,-87.659191
Loomis St,41.77126,-87.659138
Loomis St,41.752036,-87.658628
Loomis St,41.744631,-87.658435
Racine Ave,41.86852,-87.656729
Racine Ave,41.864029,-87.656597
Racine Ave,41.829325,-87.655686
Racine Ave,41.813903,-87.655287
Racine Ave,41.798563,-87.654979
Racine Ave,41.780185,-87.654517
Racine Ave,41.772,-87.654299
Racine Ave,41.76448,-87.6541
Racine Ave,41.753377,-87.653813
Racine Ave,41.744158,-87.653566
18th Street,41.857573,-87.683337
18th Street,41.85774,-87.632821
18th St,41.857869,-87.624476
18th St,41.85789,-87.622993
31st St,41.837991,-87.650405
31st St,41.837927,-87.655
31st St,41.838196,-87.634756
31st St,41.838289,-87.627562
31st St,41.838373,-87.621143
35th St,41.830303,-87.682868
35th St,41.830382,-87.67602
35th St,41.830598,-87.657426
35th St,41.830843,-87.639107
35th St,41.831081,-87.619334
35th St,41.831199,-87.613631
43rd St,41.815858,-87.666235
43rd St,41.815847,-87.661488
43rd St,41.816301,-87.638721
43rd St,41.816676,-87.614468
47th St,41.808578,-87.667723
47th St,41.808649,-87.661622
47th St,41.809221,-87.626946
47th St,41.809396,-87.615874
47th St,41.809607,-87.599776
51st Street,41.801293,-87.667538
51st Street,41.801533,-87.648948
51st St,41.801616,-87.6436
51st St,41.801921,-87.62744
51st St,41.802072,-87.618178
51st St,41.80222,-87.608065
55th Street,41.794244,-87.648908
55th St,41.794804,-87.61571
55th St,41.795109,-87.59326
59th Street,41.786465,-87.690066
59th Street,41.78671,-87.66752
59th St,41.78691,-87.652961
59th St,41.787062,-87.640752
59th Street,41.787305,-87.628708
59th St,41.78747,-87.619044
Blue Island Ave,41.846463,-87.681163
Blue Island Ave,41.849394,-87.673525
Blue Island Ave,41.859146,-87.660062
Cermak Rd,41.852078,-87.682174
Cermak Rd,41.852265,-87.669817
Cermak Rd,41.852464,-87.658227
Cermak Rd,41.852859,-87.633451
Cermak Rd,41.852812,-87.637573
Cermak Rd,41.852874,-87.627827
Cermak Rd,41.852861,-87.624414
Cermak Rd,41.852881,-87.622835
Hyde Park Blvd,41.802322,-87.600681
Hyde Park Blvd,41.797123,-87.583995
Marquette Rd,41.771932,-87.686307
Marquette Rd,41.772008,-87.679253
Marquette Rd,41.772514,-87.641987
Marquette Rd,41.772885,-87.620079
Marquette Rd,41.774978,-87.6042
Morgan St,41.828474,-87.65091
Morgan St,41.769644,-87.649382
Morgan St,41.762368,-87.649192
Pershing Rd,41.823191,-87.662035
Pershing Rd,41.823602,-87.634859
Pershing Rd,41.823805,-87.619176
Pershing Rd,41.823948,-87.607812
Roosevelt Rd,41.86686,-87.668106
Roosevelt Rd,41.867145,-87.647525
Roosevelt Rd,41.867266,-87.638052
Roosevelt RD,41.867439,-87.625406
24th St,41.849302,-87.622658
26TH  ST,41.845391,-87.641581
26th St,41.84566,-87.622137
56th St,41.793359,-87.587904
57th St,41.791544,-87.586175
60th St,41.785874,-87.606038
74th St,41.759597,-87.653971
83rd Pl,41.743472,-87.550548
85th St,41.741127,-87.545616
Balbo Ave,41.873149,-87.624836
Balbo Dr,41.873213,-87.620591
Best Dr,41.786586,-87.611974
Columbus Dr,41.869368,-87.620509
Drexel Blvd,41.802286,-87.603784
Midway Plaisance,41.786166,-87.584966
Morgan Dr,41.793546,-87.612405
Rainey Dr,41.793645,-87.609034
Harrison St,41.873649,-87.709133
Harrison St,41.87389,-87.686234
Harrison St,41.874043,-87.676455
Harrison St,41.874122,-87.670619
Harrison St,41.874199,-87.665037
Harrison St,41.87436,-87.652225
Harrison ST,41.87438,-87.627297
Harrison St,41.874327,-87.646119
Jefferson St,41.866652,-87.64217
Jefferson St,41.873569,-87.642397
Midway Plaisance,41.787229,-87.594821
Oakwood Blvd,41.823134,-87.605367
Polk St,41.872155,-87.633321
Beverly Ave,41.712817,-87.659031
Bond Ave,41.743319,-87.547879
Burley Ave,41.74028,-87.54538
Calumet Ave,41.855226,-87.619095
Canal St,41.875514,-87.639626
Clinton St,41.874389,-87.640956
Colfax Ave,41.720957,-87.560671
Columbus Dr,41.867512,-87.620401
Cornell Dr,41.782388,-87.584573
Dearborn St,41.873925,-87.62919
Des Plaines St,41.873531,-87.643862
Longwood Dr,41.693059,-87.671533
Parnell Ave,41.759562,-87.638479
Payne Dr,41.794542,-87.607689
Pitney Ct,41.838528,-87.662425
Richards Dr,41.778678,-87.579568
St Lawrence Ave,41.766933,-87.610456
Summit Ave,41.737236,-87.644725
Van Vlissingen Rd,41.714883,-87.573706
Wabash Ave,41.873661,-87.62598
Wabash Ave,41.86832,-87.625851
Wells St,41.869272,-87.633488
Woodlawn Ave,41.801676,-87.59669
Ogden Ave,41.876773,-87.671635
Ogden Ave,41.869995,-87.679727
Ogden Ave,41.862371,-87.692771
Pope John Paul II,41.815579,-87.692019
Root St,41.818962,-87.645802
Woodlawn Ave,41.800125,-87.596657
Woodlawn Ave,41.805123,-87.596753
Woodlawn Ave,41.810689,-87.596855
Lake Shore Dr,41.860562,-87.617934
Lake Shore Dr,41.799972,-87.581471
Torrence Ave,41.706839,-87.55965
Ewing Ave,41.708489,-87.535287
Wentworth Ave,41.70242,-87.628153
Kedzie Ave,41.702738,-87.701224
Michigan Ave,41.687943,-87.620988
Cottage Grove Ave,41.690928,-87.610268
State St,41.680056,-87.622723
Halsted St,41.682968,-87.642082
Vincennes Ave,41.677875,-87.671582
Michigan Ave,41.66836,-87.620176
State St,41.675955,-87.622596
Wentworth Ave,41.674552,-87.627366
Baltimore Ave,41.658336,-87.547134
Torrence Ave,41.659854,-87.55928
Torrence Ave,41.655545,-87.559298
Damen Ave,41.773922,-87.673756
Ogden Ave,41.880815,-87.666819
Ashland Ave,41.879119,-87.666752
Des Plaines St,41.879863,-87.644062
Ashland Ave,41.897607,-87.667335
Pershing Rd,41.822902,-87.688714
Grand Ave,41.915566,-87.750173
Cicero Ave,41.919517,-87.746187
Montrose Ave,41.961614,-87.667445
55th St,41.794069,-87.662159
Lake St,41.885403,-87.663033
Diversey Ave,41.932463,-87.664643
Cicero Ave,41.90128,-87.745946
Laramie Ave,41.900935,-87.755742
Central Ave,41.900144,-87.765583
Jackson Blvd,41.877113,-87.77081
Washington St,41.882191,-87.768235
Lake St,41.887904,-87.771064
Division St,41.902037,-87.772722
Grand Ave,41.919484,-87.769758
Diversey Ave,41.931174,-87.77358
Montrose Ave,41.960389,-87.774207
106th St,41.702743,-87.537314
Brainard Ave,41.65732,-87.557177
134th St,41.651861,-87.54501
Austin Ave,41.93269,-87.776018
Addison St,41.9477,-87.646232
Hollywood Ave,41.985494,-87.657453
Sheridan Ave,41.97914,-87.655026
26th St,41.844657,-87.697733
51st St,41.801077,-87.688258
47th St,41.808295,-87.693288
Cermak Rd,41.851933,-87.693114
Roosevelt Rd,41.866535,-87.693471
43rd St,41.81567,-87.686204
Talcott Ave,41.988619,-87.812789
16th St,41.858949,-87.717426
Irving Park Rd,41.95327,-87.759652
Fullerton Ave,41.924043,-87.761108
North Ave,41.910014,-87.713878
Washington St,41.881668,-87.718383
Madison St,41.880898,-87.712441
Wrightwood Ave,41.928267,-87.716068
Foster Ave,41.9753,-87.750239
Roosevelt Rd,41.865941,-87.741303
Chicago Ave,41.895151,-87.737793
North Ave,41.909705,-87.739646
Wilson Ave,41.965326,-87.662564
Foster Ave,41.976215,-87.666782
Bryn Mawr Ave,41.983538,-87.665686
Chicago Ave,41.896651,-87.630189
Ontario St,41.893244,-87.630017
Pratt Blvd,42.00544,-87.666635
Congress Pkwy,41.875606,-87.630878
111th St,41.692822,-87.605505
North Ave,41.910585,-87.669739
Foster Ave,41.976144,-87.671622
Chicago Ave,41.895971,-87.67335
Van Buren St,41.87691,-87.628624
Jackson Blvd,41.878174,-87.628405
Adams St,41.879452,-87.628325
Monroe St,41.880775,-87.626654
Madison St,41.882024,-87.628403
Lake St,41.885747,-87.628288
Washington St,41.883215,-87.628926
Randolph St,41.884485,-87.628798
California Ave,42.000202,-87.699716
112th St,41.691858,-87.539118
111th St,41.691285,-87.720316
107th St,41.699648,-87.641695
79th St,41.749569,-87.721913
Marquette St,41.771406,-87.720493
63rd St,41.778674,-87.721655
Archer Ave,41.795919,-87.761047
55th St,41.793061,-87.739172
47th St,41.808006,-87.712716
47th St,41.807648,-87.741014
35th St,41.830119,-87.693144
16th St,41.859094,-87.704686
Lake St,41.886549,-87.744388
Grand Ave,41.909224,-87.734147
Fullerton Ave,41.925567,-87.641535
Clybourn Ave,41.923528,-87.667066
Addison St,41.944804,-87.834785
Lawrence Ave,41.968273,-87.724989
Lawrence Ave,41.966293,-87.850072
Bryn Mawr Ave,41.982866,-87.724368
Peterson Ave,41.990343,-87.71242
Peterson Ave,41.990529,-87.687864
Devon Ave,41.997767,-87.687751
Devon Ave,41.997773,-87.805489
Jackson Blvd,41.877093,-87.725018
Jackson Blvd,41.877558,-87.685609
Jackson Blvd,41.877595,-87.668568
Jackson Blvd,41.877635,-87.665993
Jackson Dr,41.878356,-87.618837
Adams St,41.87878,-87.674129
Adams St,41.878596,-87.685749
Madison St,41.88074,-87.724539
Lake St,41.884876,-87.715267
Lake St,41.884246,-87.704407
Washington St,41.883218,-87.627549
Warren Blvd,41.882102,-87.685013
Madison St,41.881177,-87.6854
Lake St,41.885023,-87.675556
Franklin Blvd,41.890069,-87.706392
Grand Ave,41.890846,-87.675563
Chicago Ave,41.896397,-87.647745
Chicago Ave,41.896097,-87.665698
Division St,41.902686,-87.724565
Grand Ave,41.90103,-87.713491
Division St,41.902865,-87.703662
Division St,41.903211,-87.67591
Augusta Blvd,41.899743,-87.66515
Chicago Ave,41.89675,-87.623095
Chicago Ave,41.896787,-87.620252
Van Buren St,41.876846,-87.633902
Pulaski Rd,41.924943,-87.726783
Grand Ave,41.923102,-87.7871
Armitage Ave,41.916857,-87.752046
Central Ave,41.92398,-87.765989
Addison St,41.947325,-87.648813
Belmont Ave,41.940016,-87.646727
Division St,41.903698,-87.644273
127th St,41.663357,-87.628989
119th St,41.6779,-87.63412
31st St,41.836923,-87.721956
Higgins Ave,41.979107,-87.797633
Dearborn St,41.874957,-87.629219
Damen Ave,41.874597,-87.676475
Washington St,41.881363,-87.714203
31st St,41.837188,-87.706989
Western Ave,41.959095,-87.688615
La Salle St,41.878543,-87.632267
Des Plaines St,41.878908,-87.644032
Clinton St,41.878904,-87.641098
Canal St,41.878519,-87.639575
Wells St,41.87909,-87.633752
Clark St,41.879069,-87.630811
Dearborn St,41.878484,-87.629312
Kostner Ave,41.875108,-87.735281
Kedzie Ave,41.878056,-87.706035
Monroe St,41.880547,-87.642755
63rd St,41.779058,-87.697351
59th St,41.786284,-87.700958
Garfield Blvd,41.793556,-87.701352
Pershing Rd,41.822739,-87.696963
31st St,41.837394,-87.696
Warren Blvd,41.881848,-87.708484
Washington St,41.882781,-87.707473
Wrightwood Ave,41.928333,-87.710574
Fullerton Ave,41.924697,-87.709117
103rd St,41.706389,-87.684155
Washington St,41.883162,-87.644644
Lawrence Ave,41.968422,-87.711419
Harrison St,41.873224,-87.741379
31st St,41.836814,-87.730379
Ogden St,41.850584,-87.726087
Fullerton Ave,41.924462,-87.728691
Diversey Ave,41.931692,-87.734385
Addison St,41.946012,-87.754759
North Ave,41.909527,-87.753622
Grand Ave,41.891595,-87.633278
Central Ave,41.962998,-87.767323
Western Ave,41.964867,-87.688793
Touhy Ave,42.011999,-87.785556
California Ave,41.987697,-87.699307
Devon Ave,41.997256,-87.724713
111th St,41.69184,-87.676796
Cicero Ave,41.878378,-87.745201
Pulaski Rd,41.878768,-87.725604
Jefferson St,41.880549,-87.642619
Foster Ave,41.976427,-87.652889
107th St,41.69994,-87.618575
111th St,41.692731,-87.613734
Belmont Ave,41.939165,-87.721399
Bryn Mawr Ave,41.98293,-87.77077
Western Ave,41.678624,-87.680741
Pulaski Rd,41.692257,-87.720366
Kedzie Ave,41.68508,-87.700584
Jeffery Ave,41.722735,-87.575361
Cottage Grove Ave,41.724079,-87.604556
Exchange Ave,41.746122,-87.552788
Kedzie Ave,41.743683,-87.702226
Pulaski Rd,41.750615,-87.721947
Cottage Grove Ave,41.75174,-87.605221
Damen Ave,41.751171,-87.673157
Kedzie Ave,41.770238,-87.702937
Cicero Ave,41.779921,-87.74234
Pulaski Rd,41.779583,-87.722787
Kedzie Ave,41.780314,-87.703172
Ashland Ave,41.780774,-87.664249
Central Ave,41.793546,-87.762329
Cicero Ave,41.794355,-87.742622
Kedzie Ave,41.794916,-87.703597
California Ave,41.794209,-87.693813
Damen Ave,41.795427,-87.674346
Archer Ave,41.809086,-87.712401
Kedzie Ave,41.809606,-87.704033
California Ave,41.80897,-87.694224
Damen Ave,41.82387,-87.675108
Kostner Ave,41.837654,-87.734096
Kedzie Ave,41.839026,-87.704872
California Ave,41.838385,-87.695058
Hamlin Ave,41.846135,-87.719725
Marshall Blvd,41.852795,-87.699117
California Ave,41.852259,-87.695456
Damen Ave,41.852275,-87.675844
Kostner Ave,41.859611,-87.734761
Pulaski Rd,41.859508,-87.724975
Sacramento Ave,41.866927,-87.700802
Kimball Ave,41.914325,-87.71182
Central Ave,41.877492,-87.764763
Laramie Ave,41.878472,-87.754997
Austin Ave,41.896495,-87.775191
Ashland Ave,41.911509,-87.667716
Damen Ave,41.920367,-87.677714
Milwaukee Ave,41.918295,-87.689798
Pulaski Rd,41.911129,-87.72637
Laramie Ave,41.91094,-87.755711
Narragansett Ave,41.910958,-87.785061
Harlem Ave,41.923557,-87.80624
Kedzie Ave,41.92573,-87.707248
Sacramento Ave,41.925478,-87.702337
Ashland Ave,41.926152,-87.668181
Lake Shore Inner Dr,41.934544,-87.636704
Halsted St,41.933425,-87.649035
Sheffield Ave,41.933448,-87.653886
Southport Ave,41.934004,-87.663612
Ashland Ave,41.934063,-87.668456
Kimball Ave,41.93822,-87.712455
Kimball Ave,41.928608,-87.712206
Central Park Ave,41.933649,-87.717233
Pulaski Rd,41.932562,-87.727001
Kostner Ave,41.932608,-87.736835
Cicero Ave,41.9329,-87.746649
Laramie Ave,41.932527,-87.756461
Cumberland Ave,41.939209,-87.836148
Cumberland Ave,41.946244,-87.836483
Harlem Ave,41.939539,-87.8068
Forest Preserve Ave,41.94619,-87.822945
Oak Park Ave,41.946811,-87.796043
Central Ave,41.947672,-87.766819
Laramie Ave,41.946687,-87.75694
Cicero Ave,41.940497,-87.746913
Cicero Ave,41.947548,-87.747128
Milwaukee Ave,41.946769,-87.736449
Kedzie Ave,41.940356,-87.707649
Elston Ave,41.940326,-87.69968
California Ave,41.940634,-87.697862
Western Ave (over pass),41.940366,-87.688076
Damen Ave,41.940256,-87.678374
Sheffield Ave,41.940796,-87.654132
Halsted St,41.940877,-87.649294
Lake Shore Inner Dr,41.949054,-87.643703
Broadway,41.948385,-87.647898
Halsted St,41.948965,-87.649538
Clark St,41.94979,-87.658602
Ashland Ave,41.947751,-87.668879
Narragansett Ave,41.954774,-87.78662
Cicero Ave,41.955093,-87.747349
Pulaski Rd,41.955447,-87.727666
Elston Ave,41.954748,-87.720647
Damen Ave,41.963061,-87.679019
Ashland Ave,41.955361,-87.669076
Clarendon St,41.963669,-87.649966
Sheridan Rd,41.962457,-87.654755
Pulaski Rd,41.962267,-87.727863
Milwaukee Ave,41.96815,-87.760968
Nagle Ave,41.970016,-87.787986
Northwest Hwy,41.984243,-87.784632
Elston Ave,41.975635,-87.752372
